Sample	CSM5FZ3N_P	CSM5FZ3T_P	CSM5FZ4A_P	CSM5FZ4E_P	CSM5LLGB_P	CSM5MCTZ_P	CSM5MCU4_P	CSM5MCUQ_P	CSM5MCWA_P	CSM5MCWK_P	CSM5MCXB_P	CSM5MCXF_P	CSM5MCYU_P	CSM67U9T_P	CSM67U9V_P	CSM67U9X_P	CSM67UAI_P	CSM67UCU_P	CSM67UH7	CSM6J2H9_P	CSM79HG7_P	CSM79HH2_P	CSM79HHM	CSM79HHW_P	CSM79HHW	CSM79HJI_P	CSM79HKX	CSM79HNE	CSM79HQR_P	CSM7CZ2F_P	CSM7KOP6	CSM7KOQ5_P	CSM7KOQP_P	CSM7KOTO	CSM7KOUJ_P	ESM5GEXY	ESM5GEYU_P	ESM5GEYX_P	ESM5GEZ4_P	ESM5MEA7_P	ESM5MEB7	ESM5MEC7_P	ESM5MEDD	ESM7F5AE_P	HSM5FZBP_P	HSM5MD3L_P	HSM5MD3Y	HSM5MD48	HSM5MD4N	HSM5MD4U_P	HSM5MD5X_P	HSM5MD6E_P	HSM5MD6O_P	HSM5MD82_P	HSM5MD8F_P	HSM5MD8J_P	HSM67VCX_P	HSM67VDR_P	HSM67VDT_P	HSM67VDT	HSM67VDX_P	HSM67VF9	HSM67VFR	HSM67VID	HSM6XRQE_P	HSM7CYWS_P	HSM7CZ1T_P	HSM7CZ2V_P	HSM7CZ2X_P	HSM7J4IC	HSM7J4J7	HSM7J4JH	HSM7J4JT_P	HSM7J4JV_P	HSMA33IA	HSMA33IE	HSMA33J1_P	MSM5FZ9N_P	MSM5LLD6_P	MSM5LLEP	MSM5LLF2_P	MSM5LLFG_P	MSM5LLFK_P	MSM5LLH2_P	MSM5LLHG_P	MSM5LLHV_P	MSM6J2JF_P	MSM6J2JH_P	MSM6J2LW	MSM6J2PO	MSM6J2RG_P	MSM79H52_P	MSM79H5E	MSM79H7C	MSM79H81	MSM79H8D	MSM79H94_P	MSM79H98	MSM79H9U_P	MSM79HAJ	MSM79HBZ	MSM9VZFJ_P	MSM9VZIM	MSM9VZIY	MSM9VZJF_P	MSM9VZJJ_P	MSM9VZL5	MSM9VZL7	MSM9VZN4_P	MSMA267V	PSM6XBQM_P	PSM6XBRK_P	PSM6XBRK_TR	PSM6XBRK	PSM6XBRM_P	PSM6XBSE_P	PSM6XBSE	PSM6XBSG_P	PSM6XBTR	PSM6XBVY_P	PSM6XBW1_P	PSM6XBW3	PSM7J12J	PSM7J12V	PSM7J13I	PSM7J15W	PSM7J4EF	PSMA264O	PSMA265X
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0	0	0.01202	0.02743	0	0	0.05422	0	2.12578	0	0	0	0.06575	0.0082	0	0.01519	0	0.01247	0	0.17624	0	0.18294	0.07466	0.06947	0	0.0495	0	0	0	0	0	0	0.00404	0	0	0	0.16951	0	0.00202	0.07249	0	0	0.01422	0	0	0	0	0	0.14507	0	0	1.01863	0	0	0	0.0131	0	0	0	0.00981	0	0	0	0.02711	0.00107	0.04351	0	0	0	0	0	0	0	0	0.84686	0	0.13783	0.04487	0	0	0	0	0	0.18794	1.42736	0	0.04726	2.06362	0	0	0	0	0	0.11219	0	0	0	0	0	0.0016	0	0	0.92174	0	0.03409	0	0	0.55541	0	0.00394	0.01536	0	0.00563	0	0	0	0.61586	0	0	0	0	0	0	0.20264	0	0.27736	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24756	0	0	0	0	0	0.01852	0	0	0	0	0	0	0.11319	0.14816	0	0	0.00812	0	0	0	0	0	0	0	0	0.00454	0	0	0	0	6.58455	0	0.07596	0	0	0.39295	0.21402	0	0.34819	0.04066	0.06361	0	0	0	0	0.00507	0	0	0	0	0	0	0	0.04505	0	0	0	0	0.00289	0	0	0	0	0	0	0	0	0.92383	0	0	0	0.07236	0	0	0	0	0	0	0	0.05962	0.04045	0.30192	0.54575	0.08598	0.02171	0	0	0	0	0	0.3006	0	0	0	0	0.36256	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	84.06638	95.6901	91.9707	73.25938	57.16658	67.35915	73.96156	62.28106	9.07729	66.52086	30.56246	52.71337	5.81599	77.89941	70.07975	84.79827	0	54.83136	26.45228	54.06963	55.40296	38.03469	67.0252	82.98085	82.17862	38.56476	73.57182	12.07733	20.67701	71.51791	55.62745	65.24765	3.27227	71.68482	93.72785	76.69161	62.98227	40.77796	69.86083	49.4978	8.21644	77.53823	68.72629	41.58643	17.22702	30.35935	40.78392	39.61439	72.12799	81.28697	57.48488	73.17058	58.1339	25.57966	59.3298	48.35211	74.97008	57.27258	76.38494	78.7981	48.83519	72.91528	81.32135	12.92	7.78401	67.4771	78.04816	79.64907	61.99839	57.87498	85.86547	0	19.39936	11.08383	82.21871	55.61012	47.64089	1.66058	67.18039	51.29953	8.64018	54.00286	88.56509	3.02828	46.9221	46.51828	59.57506	8.15617	35.40142	46.52358	73.04679	29.13009	33.33641	61.6592	56.42214	65.73316	89.01007	68.26201	9.80873	20.3745	4.65116	66.12186	48.02894	48.90412	9.3905	71.45248	67.07799	40.49027	63.21659	24.00412	64.40433	74.17548	68.74276	72.3174	81.37673	55.39263	40.86976	56.17795	85.88558	49.63556	20.33662	0	0.00404	38.48781	79.85107	57.64566	56.26773	19.82405	76.00673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2.76801	0	2.92607	0.03421	0	3.42249	0	0	0.31026	4.02102	0.52064	0.93091	0.18506	3.78345	4.0709	1.53798	0	0	2.94331	0.9604	0	0.6308	1.68649	4.66956	5.2934	2.30796	0	0	0.71358	4.89018	0	0.07833	0	2.76423	8.87793	0	0	2.20216	1.33627	0	1.44994	0.82896	3.09432	2.40985	0	3.6396	6.66206	0	20.68681	0	0.86921	0.00876	2.47652	2.84156	0	0	0	0.28217	2.25489	2.481	5.13411	0.49071	0	2.53659	0	1.24533	0	3.01695	0	0.01006	6.79914	0	0	0.54922	0	14.1766	0	0	2.02485	3.22485	0.18077	3.34238	0	0.06324	2.44983	0	2.20507	0.83498	0.73713	0.64579	0	5.5122	2.54285	6.54173	0	0	0.01157	3.16296	0.44829	1.52829	0	3.74991	0	0	2.62923	0	1.20942	0.4351	3.32167	1.11774	2.90291	1.75674	1.75049	1.62187	0	1.09621	0.32853	9.24671	1.32281	1.68843	1.73185	0	0	4.59215	8.9877	0	0	5.76393	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	0	0.04421	0	0	0.09132	0	0	0	7.36777	0	0	0	2.16278	0	0	0	0	0.20822	0.26555	0.62043	5.24859	0	0	0	0	0.86163	0	0	0	5.85442	0.03981	0	0	0	0	0	0	0	0	0	0	0	0.42218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19331	0	0	0	0	0.11265	0	0.00566	0	0	0	0	0.00203	0	0	0	0	0	0.90575	7.28529	0	0	0	0	0.9266	0	0	0.16796	0.03213	0	0	0	0.06456	2.47915	0	0	32.14908	0.32872	0.0164	0	0	2.73646	0	0.7875	0	0	0	3.75568	0	0.05565	0.2823	0	0	0	1.32337	0	0	0.10388	0	0	0	0	0	0.00875	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0.74873	0	0	0	0	0	0	0	0	0.00782	2.14672	0	0	0	0	0	0	0	0	0	0	11.1187	0	0	0	0	0	0	0.61807	0.00081	0	0.16874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03557	0	0.00903	0	0	0	0	1.04461	0	0	0	0	0	0	0.35194	0	0	0	0	0	0	0	0	0	0	0	0	0.47915	0	0	0	0	0	0.47307	0	0	0	0	0	0	0	0	0	11.56944	0	0	0	0	0	0	0	0	0.10659	0	0	0.01212	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0.28864	0	14.03921	1.34183	0.3827	73.94198	30.8072	0.09926	0	0	0	1.53697	16.77048	0	0.19684	0	12.23595	0	0.00091	0.13484	0.24465	10.32787	14.29425	12.71547	0.27927	0	0	0	0	2.34545	0	0	0	7.46398	0	0	7.03016	6.75154	0.68379	0	0.60702	25.88219	4.5067	0.1621	0.00346	11.87315	0	0	0	0.13959	0	0	0	0	0	0	0	0	0	20.37394	0	0	0	0	0.9253	0	2.36501	0	21.74401	0	0	0	0	0	0	0	0	0	2.01358	0.09236	0	0	0	0	0.50463	0.95407	0.83398	0.79628	0	35.28376	0	0	0.96105	51.73881	30.30581	0.0169	0	0.5053	1.23119	0	0.04665	0	0.60752	0.09777	0	3.46644	12.65	15.48079	1.05895	5.17713	1.42403	1.51012	1.29922	2.29981	0	0	2.46241	2.19445	0	0.05767	0	0	2.42038	19.49192	0	36.46827	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0	0	0	0	0	0.13185	0	0	0.03479	0	0.08943	0	0	0	0	0.00494	0	0	0	0	0	0.02167	0	0	0	1.35463	0	0	0	26.37632	0	0	0	0	7.12308	0	0.62937	0	0	0	0	0.01736	0	0.09591	0	0	0	0	0	0	0	0	0	0.38294	28.53105	0	0	0	0	0	0	0	0	0	0	0.24387	0	0	0	0	0	0	0	0	0	9.17827	0	0	0	0	0	0	0	0	0	0	0.02457	0.10518	0.14413	10.44752	0	0	0.06475	0	0	1.50933	0.00974	0	0.004	4.33849	0	0.00497	0	0	0.04493	0	0	0	0	0	0	0	0	0	0	4.72843	1.87708	0	0	0	0.038	0	0	0	0	0	2.16578	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0	0	1.0119	0	0	0.28455	0	5.18582	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43736	0	0	0	0.41038	0	0	0	0	0	0	0	0	0	0.7245	0	2.28978	0	0	0	0.67514	0.11207	0.45147	0.03724	0	0	0	0	0	0	0	0	0	0	0	0	0.62314	2.03851	2.32726	0	0	0	0.01106	0	1.01806	0	2.46433	0	0	9.16473	0	1.5438	0	0	0.1663	0	0	0.17614	0	0	0	0	0	0	0	0.00641	0.59717	0	0	4.32242	1.26246	0	0	0	4.79854	0	0	0.17742	0	0	0	0.662	0	0	0	0	0	0	0	3.89632	4.00444	3.08538	2.80957	15.47901	0	0	0	2.72852	0	1.01742	0	0	0.29436	0	0	0	0	0
