Sample	CSM5FZ3N_P	CSM5FZ3T_P	CSM5FZ4A_P	CSM5FZ4E_P	CSM5LLGB_P	CSM5MCTZ_P	CSM5MCU4_P	CSM5MCUQ_P	CSM5MCWA_P	CSM5MCWK_P	CSM5MCXB_P	CSM5MCXF_P	CSM5MCYU_P	CSM67U9T_P	CSM67U9V_P	CSM67U9X_P	CSM67UAI_P	CSM67UCU_P	CSM67UH7	CSM6J2H9_P	CSM79HG7_P	CSM79HH2_P	CSM79HHM	CSM79HHW_P	CSM79HHW	CSM79HJI_P	CSM79HKX	CSM79HNE	CSM79HQR_P	CSM7CZ2F_P	CSM7KOP6	CSM7KOQ5_P	CSM7KOQP_P	CSM7KOTO	CSM7KOUJ_P	ESM5GEXY	ESM5GEYU_P	ESM5GEYX_P	ESM5GEZ4_P	ESM5MEA7_P	ESM5MEB7	ESM5MEC7_P	ESM5MEDD	ESM7F5AE_P	HSM5FZBP_P	HSM5MD3L_P	HSM5MD3Y	HSM5MD48	HSM5MD4N	HSM5MD4U_P	HSM5MD5X_P	HSM5MD6E_P	HSM5MD6O_P	HSM5MD82_P	HSM5MD8F_P	HSM5MD8J_P	HSM67VCX_P	HSM67VDR_P	HSM67VDT_P	HSM67VDT	HSM67VDX_P	HSM67VF9	HSM67VFR	HSM67VID	HSM6XRQE_P	HSM7CYWS_P	HSM7CZ1T_P	HSM7CZ2V_P	HSM7CZ2X_P	HSM7J4IC	HSM7J4J7	HSM7J4JH	HSM7J4JT_P	HSM7J4JV_P	HSMA33IA	HSMA33IE	HSMA33J1_P	MSM5FZ9N_P	MSM5LLD6_P	MSM5LLEP	MSM5LLF2_P	MSM5LLFG_P	MSM5LLFK_P	MSM5LLH2_P	MSM5LLHG_P	MSM5LLHV_P	MSM6J2JF_P	MSM6J2JH_P	MSM6J2LW	MSM6J2PO	MSM6J2RG_P	MSM79H52_P	MSM79H5E	MSM79H7C	MSM79H81	MSM79H8D	MSM79H94_P	MSM79H98	MSM79H9U_P	MSM79HAJ	MSM79HBZ	MSM9VZFJ_P	MSM9VZIM	MSM9VZIY	MSM9VZJF_P	MSM9VZJJ_P	MSM9VZL5	MSM9VZL7	MSM9VZN4_P	MSMA267V	PSM6XBQM_P	PSM6XBRK_P	PSM6XBRK_TR	PSM6XBRK	PSM6XBRM_P	PSM6XBSE_P	PSM6XBSE	PSM6XBSG_P	PSM6XBTR	PSM6XBVY_P	PSM6XBW1_P	PSM6XBW3	PSM7J12J	PSM7J12V	PSM7J13I	PSM7J15W	PSM7J4EF	PSMA264O	PSMA265X
ANAEROFRUCAT-PWY: homolactic fermentation	240.223	167.485	118.727	248.646	144.204	188.364	94.443	167.901	229.565	170.025	197.428	189.021	82.3773	230.788	161.099	118.599	251.875	150.621	223.257	215.201	101.045	170.736	289.039	91.2697	95.5224	143.325	277.108	289.707	144.185	139.715	204.852	68.7613	40.1753	224.299	124.807	138.763	237.676	217.368	244.194	65.788	142.442	175.279	227.073	194.067	146.454	170.084	297.668	254.163	127.146	313.28	175.714	93.5976	183.546	193.474	192.935	170.545	105.889	206.661	123.205	143.628	242.741	271.964	169.092	187.399	0	175.713	202.743	149.406	182.288	193.204	191.86	174.154	137.216	36.4865	100.658	154.381	97.9667	225.594	149.459	289.761	188.147	240.173	0	206.937	110.156	129.992	208.016	172.185	218.996	236.756	128.828	229.409	200.654	171.317	212.261	230.766	120.438	262.771	161.093	217.839	203.137	220.529	205.309	217.022	227.379	218.53	263.934	265.062	95.5915	243.388	152.38	222.101	312.442	284.271	164.376	122.855	278.508	27.5494	151.868	154.784	201.51	277.944	246.569	171.616	221.605	245.11	171.433	158.65	263.114
ANAEROFRUCAT-PWY: homolactic fermentation|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_amalonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_braakii	0	0	0	0	0	0	0	0	0.224772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_farmeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_portucalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_werkmanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_youngae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Clostridioides.s__Clostridioides_difficile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
